ts	avail_mib	gtt_mib	daemon_anon_mib	daemon_file_mib	eval_rss_mib
10:25:53	39809	53667	21969	1334	113
10:25:55	39814	53667	21969	1334	113
10:25:57	39766	53667	21974	1334	113
10:25:59	39766	53667	21974	1334	113
10:26:01	39766	53667	21974	1334	113
10:26:03	39768	53667	21972	1334	113
10:26:05	39769	53667	21972	1334	113
10:26:07	39772	53667	21971	1334	113
10:26:09	39776	53667	21971	1334	113
10:26:11	39778	53667	21971	1334	113
10:26:13	39780	53667	21971	1334	113
10:26:15	39780	53667	21971	1334	113
10:26:17	39782	53667	21971	1334	113
10:26:19	39786	53667	21971	1334	113
10:26:21	39785	53667	21971	1334	113
10:26:23	39785	53667	21971	1334	113
10:26:25	39788	53667	21971	1334	113
10:26:27	39788	53667	21971	1334	113
10:26:29	39787	53667	21971	1334	113
10:26:31	39789	53667	21971	1334	113
10:26:33	39769	53667	21971	1334	113
10:26:35	39767	53667	21971	1334	113
10:26:37	39768	53667	21971	1334	113
10:26:39	39767	53667	21971	1334	113
10:26:41	39764	53667	21971	1334	113
10:26:43	39368	53667	22356	1334	113
10:26:46	39369	53667	22356	1334	113
10:26:48	39370	53667	22356	1334	113
10:26:50	39368	53667	22356	1334	113
10:26:52	39372	53667	22356	1334	113
10:26:54	39371	53667	22356	1334	113
10:26:56	39371	53667	22356	1334	113
10:26:58	39372	53667	22356	1334	113
10:27:00	39374	53667	22356	1334	113
10:27:02	39377	53667	22356	1334	113
10:27:04	39377	53667	22356	1334	113
10:27:06	39380	53667	22356	1334	113
10:27:08	39381	53667	22356	1334	113
10:27:10	39383	53667	22356	1334	113
10:27:12	39386	53667	22356	1334	113
10:27:14	39382	53667	22356	1334	113
10:27:16	39385	53667	22356	1334	113
10:27:18	39390	53667	22356	1334	113
10:27:20	39390	53667	22356	1334	113
10:27:23	39392	53667	22356	1334	113
10:27:25	39393	53667	22356	1334	113
10:27:27	39390	53667	22356	1334	113
10:27:29	39387	53667	22356	1334	113
10:27:31	39387	53667	22356	1334	113
10:27:33	39387	53667	22356	1334	113
10:27:35	39383	53667	22356	1334	113
10:27:37	39385	53667	22356	1334	113
10:27:39	39384	53667	22356	1334	113
10:27:41	39385	53667	22356	1334	113
10:27:43	39386	53667	22356	1334	113
10:27:45	39382	53667	22356	1334	113
10:27:47	39385	53667	22356	1334	113
10:27:49	39386	53667	22356	1334	113
10:27:51	39391	53667	22356	1334	113
10:27:53	39382	53667	22356	1334	113
10:27:55	39384	53667	22356	1334	113
10:27:57	39385	53667	22356	1334	113
10:28:00	39382	53667	22356	1334	113
10:28:02	39383	53667	22356	1334	113
10:28:04	39382	53667	22356	1334	113
10:28:06	39383	53667	22356	1334	113
10:28:08	39387	53667	22356	1334	113
10:28:10	39385	53667	22356	1334	113
10:28:12	39378	53667	22356	1334	113
10:28:14	39382	53667	22356	1334	113
10:28:16	39384	53667	22356	1334	113
10:28:18	39385	53667	22356	1334	113
10:28:20	39386	53667	22356	1334	113
10:28:22	39390	53667	22356	1334	113
10:28:24	39393	53667	22356	1334	113
10:28:26	39387	53667	22356	1334	113
10:28:28	39389	53667	22356	1334	113
10:28:30	39390	53667	22356	1334	113
10:28:33	39392	53667	22356	1334	113
10:28:35	39387	53667	22356	1334	113
10:28:37	39386	53667	22356	1334	113
10:28:39	39386	53667	22356	1334	113
10:28:41	39384	53667	22356	1334	113
10:28:43	39387	53667	22356	1334	113
10:28:45	39388	53667	22356	1334	113
10:28:47	39385	53667	22356	1334	113
10:28:49	39634	53667	22114	1334	113
10:28:51	39633	53667	22114	1334	113
10:28:53	39633	53667	22114	1334	113
10:28:55	39633	53667	22114	1334	113
10:28:57	39634	53667	22114	1334	113
10:28:59	39637	53667	22114	1334	113
10:29:01	39636	53667	22114	1334	113
10:29:03	39501	53667	22237	1334	113
10:29:05	39504	53667	22237	1334	113
10:29:07	39504	53667	22237	1334	113
10:29:09	39497	53667	22237	1334	113
10:29:11	39492	53667	22237	1334	113
10:29:13	39492	53667	22237	1334	113
10:29:16	39493	53667	22237	1334	113
10:29:18	39574	53667	22159	1334	113
10:29:20	39572	53667	22159	1334	113
10:29:22	39570	53667	22159	1334	113
10:29:24	39570	53667	22159	1334	113
10:29:26	39578	53667	22159	1334	113
10:29:28	39579	53667	22159	1334	113
10:29:30	39585	53667	22159	1334	113
10:29:32	39586	53667	22159	1334	113
10:29:34	39588	53667	22159	1334	113
10:29:36	39589	53667	22159	1334	113
10:29:38	39588	53667	22159	1334	113
10:29:41	39584	53667	22159	1334	113
10:29:43	39584	53667	22159	1334	113
10:29:45	39587	53667	22159	1334	113
10:29:47	39587	53667	22159	1334	113
10:29:49	39588	53667	22159	1334	113
10:29:51	39586	53667	22159	1334	113
10:29:53	39107	53667	22159	1334	113
10:29:55	39124	53667	22159	1334	113
10:29:58	39128	53667	22147	1334	113
10:30:00	39171	53667	22139	1334	113
10:30:02	39192	53667	22140	1334	113
10:30:04	39206	53667	22143	1334	113
10:30:06	39232	53667	22143	1334	113
10:30:08	39246	53667	22143	1334	113
10:30:10	39249	53667	22191	1334	113
10:30:12	39083	53667	22234	1334	113
10:30:14	39151	53667	22177	1334	113
10:30:16	39183	53667	22177	1334	113
10:30:18	39214	53667	22177	1334	113
10:30:20	39242	53667	22177	1334	113
10:30:22	39272	53667	22177	1334	113
10:30:24	39306	53667	22177	1334	113
10:30:26	39335	53667	22177	1334	113
10:30:28	39365	53667	22177	1334	113
10:30:30	39393	53667	22177	1334	113
10:30:32	39417	53667	22177	1334	113
10:30:34	39437	53667	22177	1334	113
10:30:36	39457	53667	22177	1334	113
10:30:38	39474	53667	22177	1334	113
10:30:41	39488	53667	22177	1334	113
10:30:43	39510	53667	22177	1334	113
10:30:45	39475	53667	22182	1334	113
10:30:47	39477	53667	22182	1334	113
10:30:49	39478	53667	22182	1334	113
10:30:52	39478	53667	22182	1334	113
10:30:54	39484	53667	22182	1334	113
10:30:56	39487	53667	22182	1334	113
10:30:58	39488	53667	22182	1334	113
10:31:00	39491	53667	22182	1334	113
10:31:02	39490	53667	22182	1334	113
10:31:04	39493	53667	22182	1334	113
10:31:06	39495	53667	22182	1334	113
10:31:08	39496	53667	22182	1334	113
10:31:12	39496	53667	22182	1334	113
10:31:14	39500	53667	22182	1334	113
10:31:17	39504	53667	22182	1334	113
10:31:19	39507	53667	22182	1334	113
10:31:21	39506	53667	22182	1334	113
10:31:23	39550	53667	22182	1334	113
10:31:25	39548	53667	22182	1334	113
10:31:27	39546	53667	22182	1334	113
10:31:29	39546	53667	22182	1334	113
10:31:31	39544	53667	22182	1334	113
10:31:33	39547	53667	22182	1334	113
10:31:35	39538	53667	22182	1334	113
10:31:37	39540	53667	22182	1334	113
10:31:39	39541	53667	22182	1334	113
10:31:41	39541	53667	22182	1334	113
10:31:43	39537	53667	22182	1334	113
10:31:46	39539	53667	22182	1334	113
10:31:48	39541	53667	22182	1334	113
10:31:50	39540	53667	22182	1334	113
10:31:52	39540	53667	22182	1334	113
10:31:54	39541	53667	22182	1334	113
10:31:56	39542	53667	22182	1334	113
10:31:58	39544	53667	22182	1334	113
10:32:00	39546	53667	22182	1334	113
10:32:02	39546	53667	22182	1334	113
10:32:04	39546	53667	22182	1334	113
10:32:06	39545	53667	22182	1334	113
10:32:08	39545	53667	22182	1334	113
10:32:12	39545	53667	22182	1334	113
10:32:14	39542	53667	22182	1334	113
10:32:16	39542	53667	22182	1334	113
10:32:18	39538	53667	22182	1334	113
10:32:20	39538	53667	22182	1334	113
10:32:22	39539	53667	22182	1334	113
10:32:24	39541	53667	22182	1334	113
10:32:26	39542	53667	22182	1334	113
10:32:28	39541	53667	22182	1334	113
10:32:30	39537	53667	22182	1335	113
10:32:32	39509	53667	22203	1336	113
10:32:34	39531	53667	22182	1336	113
10:32:36	39473	53667	22232	1336	113
10:32:38	39447	53667	22232	1336	113
10:32:40	39442	53667	22274	1336	113
10:32:42	39442	53107	22253	1336	113
10:32:44	39456	53667	22232	1336	113
10:32:46	39446	53667	22248	1336	113
10:32:48	39428	53667	22248	1336	113
10:32:50	39411	53667	22289	1336	113
10:32:53	39449	53667	22268	1336	113
10:32:55	39472	53667	22248	1336	113
10:32:57	39456	53667	22248	1336	113
10:32:59	39457	53667	22248	1336	113
10:33:01	40206	53667	22248	1336	113
10:33:03	44013	53667	22248	1336	113
10:33:05	41047	53667	22248	1336	113
10:33:07	40895	53667	22248	1336	113
10:33:09	40753	53667	22248	1336	113
10:33:11	40593	53667	22248	1336	113
10:33:13	40443	53667	22248	1336	113
10:33:15	40293	53667	22248	1336	113
10:33:17	40143	53667	22247	1336	113
10:33:19	39998	53667	22247	1336	113
10:33:21	39855	53667	22247	1336	113
10:33:23	39698	53667	22247	1336	113
10:33:25	39553	53667	22247	1336	113
10:33:27	39394	53667	22247	1336	113
10:33:29	39244	53667	22247	1336	113
10:33:31	39105	53667	22247	1336	113
10:33:33	38956	53667	22247	1336	113
10:33:35	38806	53667	22247	1336	113
10:33:37	38650	53667	22247	1336	113
10:33:39	41307	53667	22247	1336	113
10:33:41	41176	53667	22247	1336	113
10:33:43	40958	53667	22247	1336	113
10:33:45	40779	53667	22254	1336	113
10:33:47	40740	53667	22282	1336	113
10:33:49	40444	53667	22312	1336	113
