tp	kind	old_status	call	call_arity	old_arity	new_arity	test_path	cfg_test	same_crate	symbol	file	line	commit
False	new_function	absent	False	None	None	3	False	False	False	reach_index	sovereign/crates/sovereign-cli-dev/src/converge_cmd.rs	20	27c0fe0313913b01480c572af649a3ac1c9a248f
True	new_function	absent	True	3	None	3	False	False	False	reach_index	sovereign/crates/sovereign-cli-dev/src/converge_cmd.rs	313	27c0fe0313913b01480c572af649a3ac1c9a248f
False	new_function	absent	False	None	None	3	False	False	True	reach_index	corpus-engine-scip/src/lib.rs	83	27c0fe0313913b01480c572af649a3ac1c9a248f
False	new_function	absent	False	None	None	2	False	False	False	render_roles	sovereign/crates/sovereign-cli-dev/src/converge_cmd.rs	20	27c0fe0313913b01480c572af649a3ac1c9a248f
True	new_function	absent	True	2	None	2	False	False	False	render_roles	sovereign/crates/sovereign-cli-dev/src/converge_cmd.rs	324	27c0fe0313913b01480c572af649a3ac1c9a248f
False	new_function	absent	False	None	None	2	False	False	True	render_roles	corpus-engine-scip/src/lib.rs	83	27c0fe0313913b01480c572af649a3ac1c9a248f
True	new_function	absent	True	0	None	0	False	False	False	has_span	sovereign/crates/sovereign-cli-dev/src/redirect_cmd.rs	350	27c0fe0313913b01480c572af649a3ac1c9a248f
False	new_function	absent	True	0	None	0	False	True	True	has_span	corpus-engine-scip/src/scip_graph.rs	2763	27c0fe0313913b01480c572af649a3ac1c9a248f
False	new_function	absent	True	0	None	0	False	True	True	has_span	corpus-engine-scip/src/scip_graph.rs	2736	27c0fe0313913b01480c572af649a3ac1c9a248f
False	new_function	absent	True	3	None	3	False	True	True	field_signatures	corpus-engine-scip/src/shape.rs	721	27c0fe0313913b01480c572af649a3ac1c9a248f
True	new_function	absent	True	3	None	3	False	False	False	field_signatures	sovereign/crates/sovereign-cli-dev/src/converge_cmd.rs	295	27c0fe0313913b01480c572af649a3ac1c9a248f
False	new_function	absent	True	3	None	3	False	True	True	field_signatures	corpus-engine-scip/src/shape.rs	891	27c0fe0313913b01480c572af649a3ac1c9a248f
False	new_function	absent	False	None	None	3	False	False	False	field_signatures	sovereign/crates/sovereign-cli-dev/src/converge_cmd.rs	21	27c0fe0313913b01480c572af649a3ac1c9a248f
False	new_function	absent	True	3	None	3	False	True	True	field_signatures	corpus-engine-scip/src/shape.rs	849	27c0fe0313913b01480c572af649a3ac1c9a248f
True	new_function	absent	True	3	None	3	False	False	False	field_signatures	sovereign/crates/sovereign-cli-dev/src/refactor_cmd/schedule.rs	475	27c0fe0313913b01480c572af649a3ac1c9a248f
False	new_function	absent	False	None	None	3	False	False	False	field_signatures	sovereign/crates/sovereign-cli-dev/src/refactor_cmd/schedule.rs	28	27c0fe0313913b01480c572af649a3ac1c9a248f
True	new_function	absent	True	3	None	3	False	False	False	field_signatures	sovereign/crates/sovereign-cli-dev/src/converge_cmd.rs	297	27c0fe0313913b01480c572af649a3ac1c9a248f
False	new_function	absent	True	3	None	3	False	True	True	field_signatures	corpus-engine-scip/src/shape.rs	909	27c0fe0313913b01480c572af649a3ac1c9a248f
False	new_function	absent	True	3	None	3	False	True	True	field_signatures	corpus-engine-scip/src/shape.rs	816	27c0fe0313913b01480c572af649a3ac1c9a248f
False	new_function	absent	False	None	None	3	False	False	True	field_signatures	corpus-engine-scip/src/lib.rs	91	27c0fe0313913b01480c572af649a3ac1c9a248f
False	new_function	absent	True	3	None	3	False	True	True	field_signatures	corpus-engine-scip/src/shape.rs	761	27c0fe0313913b01480c572af649a3ac1c9a248f
False	new_function	absent	True	3	None	3	False	True	True	field_signatures	corpus-engine-scip/src/shape.rs	886	27c0fe0313913b01480c572af649a3ac1c9a248f
True	new_function	absent	True	4	None	2	False	False	False	shape_census	sovereign/crates/sovereign-cli-dev/src/converge_cmd.rs	299	27c0fe0313913b01480c572af649a3ac1c9a248f
True	new_function	absent	True	4	None	2	False	False	False	shape_census	sovereign/crates/sovereign-cli-dev/src/refactor_cmd/schedule.rs	476	27c0fe0313913b01480c572af649a3ac1c9a248f
False	new_function	absent	True	4	None	2	False	True	True	shape_census	corpus-engine-scip/src/shape.rs	891	27c0fe0313913b01480c572af649a3ac1c9a248f
False	new_function	absent	True	4	None	2	False	True	True	shape_census	corpus-engine-scip/src/shape.rs	762	27c0fe0313913b01480c572af649a3ac1c9a248f
False	new_function	absent	False	None	None	2	False	False	False	shape_census	sovereign/crates/sovereign-cli-dev/src/converge_cmd.rs	21	27c0fe0313913b01480c572af649a3ac1c9a248f
False	new_function	absent	True	4	None	2	False	True	True	shape_census	corpus-engine-scip/src/shape.rs	884	27c0fe0313913b01480c572af649a3ac1c9a248f
False	new_function	absent	False	None	None	2	False	False	False	shape_census	sovereign/crates/sovereign-cli-dev/src/refactor_cmd/schedule.rs	28	27c0fe0313913b01480c572af649a3ac1c9a248f
False	new_function	absent	False	None	None	2	False	False	True	shape_census	corpus-engine-scip/src/lib.rs	91	27c0fe0313913b01480c572af649a3ac1c9a248f
False	new_function	absent	True	4	None	2	False	True	True	shape_census	corpus-engine-scip/src/shape.rs	722	27c0fe0313913b01480c572af649a3ac1c9a248f
False	new_function	absent	True	4	None	2	False	True	True	shape_census	corpus-engine-scip/src/shape.rs	821	27c0fe0313913b01480c572af649a3ac1c9a248f
False	new_function	absent	False	None	None	2	False	False	True	render_shape	corpus-engine-scip/src/lib.rs	91	27c0fe0313913b01480c572af649a3ac1c9a248f
False	new_function	absent	True	2	None	2	False	True	True	render_shape	corpus-engine-scip/src/shape.rs	738	27c0fe0313913b01480c572af649a3ac1c9a248f
True	new_function	absent	True	2	None	2	False	False	False	render_shape	sovereign/crates/sovereign-cli-dev/src/converge_cmd.rs	307	27c0fe0313913b01480c572af649a3ac1c9a248f
False	new_function	absent	False	None	None	2	False	False	False	render_shape	sovereign/crates/sovereign-cli-dev/src/converge_cmd.rs	21	27c0fe0313913b01480c572af649a3ac1c9a248f
True	new_function	absent	True	1	None	1	False	True	True	meta_in	corpus-engine/src/engine/mod.rs	3404	27c0fe0313913b01480c572af649a3ac1c9a248f
True	new_function	absent	True	1	None	1	False	True	True	meta_in	corpus-engine/src/snapshot.rs	957	27c0fe0313913b01480c572af649a3ac1c9a248f
True	new_function	absent	True	1	None	1	False	False	True	meta_in	corpus-engine/src/engine/mod.rs	1500	27c0fe0313913b01480c572af649a3ac1c9a248f
True	new_function	absent	True	1	None	1	False	False	True	meta_in	corpus-engine/src/sharding.rs	145	27c0fe0313913b01480c572af649a3ac1c9a248f
True	new_function	absent	True	1	None	1	False	True	False	meta_in	commonwealth/crates/commonwealth-api/src/auto_recover.rs	419	27c0fe0313913b01480c572af649a3ac1c9a248f
True	new_function	absent	True	1	None	1	False	True	True	meta_in	corpus-engine/src/engine/mod.rs	3214	27c0fe0313913b01480c572af649a3ac1c9a248f
True	new_function	absent	True	1	None	1	False	True	False	meta_in	commonwealth/crates/commonwealth-api/src/auto_recover.rs	556	27c0fe0313913b01480c572af649a3ac1c9a248f
True	new_function	absent	True	1	None	1	False	False	True	meta_in	corpus-engine/src/engine/mod.rs	2396	27c0fe0313913b01480c572af649a3ac1c9a248f
True	new_function	absent	True	1	None	1	False	True	True	meta_in	corpus-engine/src/snapshot.rs	1087	27c0fe0313913b01480c572af649a3ac1c9a248f
True	new_function	absent	True	1	None	1	False	True	True	meta_in	corpus-engine/src/engine/mod.rs	3189	27c0fe0313913b01480c572af649a3ac1c9a248f
True	new_function	absent	True	1	None	1	False	True	True	meta_in	corpus-engine/src/sharding.rs	1935	27c0fe0313913b01480c572af649a3ac1c9a248f
True	new_function	absent	True	1	None	1	False	True	True	meta_in	corpus-engine/src/sharding.rs	2426	27c0fe0313913b01480c572af649a3ac1c9a248f
True	new_function	absent	True	1	None	1	False	True	True	meta_in	corpus-engine/src/canonical_sync.rs	230	27c0fe0313913b01480c572af649a3ac1c9a248f
True	new_function	absent	True	1	None	1	False	False	False	meta_in	sovereign/crates/sovereign-cli-llm/src/corpus_cmd/partitions.rs	280	27c0fe0313913b01480c572af649a3ac1c9a248f
True	new_function	absent	True	1	None	1	False	False	False	meta_in	sovereign/crates/sovereign-cli-llm/src/corpus_cmd/inventory.rs	883	27c0fe0313913b01480c572af649a3ac1c9a248f
True	new_function	absent	True	1	None	1	False	True	True	meta_in	corpus-engine/src/meta_atlas/builder.rs	546	27c0fe0313913b01480c572af649a3ac1c9a248f
True	new_function	absent	True	1	None	1	False	True	True	meta_in	corpus-engine/src/canonical_sync.rs	260	27c0fe0313913b01480c572af649a3ac1c9a248f
True	new_function	absent	True	1	None	1	False	False	False	meta_in	sovereign/crates/sovereign-cli-llm/src/corpus_cmd/inventory.rs	776	27c0fe0313913b01480c572af649a3ac1c9a248f
True	new_function	absent	True	1	None	1	False	True	True	meta_in	corpus-engine/src/sharding.rs	1992	27c0fe0313913b01480c572af649a3ac1c9a248f
True	new_function	absent	True	1	None	1	False	True	True	meta_in	corpus-engine/src/sharding.rs	2428	27c0fe0313913b01480c572af649a3ac1c9a248f
True	new_function	absent	True	1	None	1	False	True	False	meta_in	commonwealth/crates/commonwealth-api/src/auto_recover.rs	652	27c0fe0313913b01480c572af649a3ac1c9a248f
True	new_function	absent	True	1	None	1	False	False	True	meta_in	corpus-engine/src/engine/mod.rs	2245	27c0fe0313913b01480c572af649a3ac1c9a248f
True	new_function	absent	True	1	None	1	False	False	False	meta_in	sovereign/crates/sovereign-cli-llm/src/corpus_cmd/partitions.rs	1002	27c0fe0313913b01480c572af649a3ac1c9a248f
True	new_function	absent	True	1	None	1	False	False	True	meta_in	corpus-engine/src/engine/mod.rs	1726	27c0fe0313913b01480c572af649a3ac1c9a248f
True	new_function	absent	True	1	None	1	False	True	True	meta_in	corpus-engine/src/snapshot.rs	1201	27c0fe0313913b01480c572af649a3ac1c9a248f
True	new_function	absent	True	1	None	1	False	True	False	meta_in	commonwealth/crates/commonwealth-api/src/auto_recover.rs	453	27c0fe0313913b01480c572af649a3ac1c9a248f
True	new_function	absent	True	1	None	1	False	True	True	meta_in	corpus-engine/src/sharding.rs	1884	27c0fe0313913b01480c572af649a3ac1c9a248f
True	new_function	absent	True	1	None	1	False	True	True	meta_in	corpus-engine/src/sharding.rs	2067	27c0fe0313913b01480c572af649a3ac1c9a248f
True	new_function	absent	True	1	None	1	False	True	False	meta_in	commonwealth/crates/commonwealth-api/src/auto_recover.rs	608	27c0fe0313913b01480c572af649a3ac1c9a248f
True	new_function	absent	True	1	None	1	False	True	False	meta_in	commonwealth/crates/commonwealth-api/src/auto_recover.rs	583	27c0fe0313913b01480c572af649a3ac1c9a248f
True	new_function	absent	True	1	None	1	False	False	True	meta_in	corpus-engine/src/sharding.rs	92	27c0fe0313913b01480c572af649a3ac1c9a248f
True	new_function	absent	True	1	None	1	False	True	False	meta_in	commonwealth/crates/commonwealth-api/src/auto_recover.rs	665	27c0fe0313913b01480c572af649a3ac1c9a248f
True	new_function	absent	True	1	None	1	False	False	False	meta_in	sovereign/crates/sovereign-cli-llm/src/corpus_cmd/partitions.rs	350	27c0fe0313913b01480c572af649a3ac1c9a248f
True	new_function	absent	True	1	None	1	False	True	True	meta_in	corpus-engine/src/snapshot.rs	1361	27c0fe0313913b01480c572af649a3ac1c9a248f
True	new_function	absent	True	1	None	1	False	False	True	meta_in	corpus-engine/src/sharding.rs	1495	27c0fe0313913b01480c572af649a3ac1c9a248f
True	new_function	absent	True	1	None	1	False	False	True	meta_in	corpus-engine/src/engine/mod.rs	1074	27c0fe0313913b01480c572af649a3ac1c9a248f
True	new_function	absent	True	1	None	1	False	False	True	meta_in	corpus-engine/src/engine/mod.rs	2297	27c0fe0313913b01480c572af649a3ac1c9a248f
True	new_function	absent	True	1	None	1	False	False	False	meta_in	commonwealth/crates/commonwealth-api/src/auto_recover.rs	194	27c0fe0313913b01480c572af649a3ac1c9a248f
True	new_function	absent	True	1	None	1	False	True	False	meta_in	commonwealth/crates/commonwealth-api/src/auto_recover.rs	487	27c0fe0313913b01480c572af649a3ac1c9a248f
True	new_function	absent	True	1	None	1	False	True	True	meta_in	corpus-engine/src/canonical_sync.rs	259	27c0fe0313913b01480c572af649a3ac1c9a248f
True	new_function	absent	True	1	None	1	False	True	True	meta_in	corpus-engine/src/sharding.rs	1991	27c0fe0313913b01480c572af649a3ac1c9a248f
True	new_function	absent	True	1	None	1	False	True	True	meta_in	corpus-engine/src/sharding.rs	2055	27c0fe0313913b01480c572af649a3ac1c9a248f
True	new_function	absent	True	1	None	1	False	False	True	meta_in	corpus-engine/src/engine/mod.rs	1277	27c0fe0313913b01480c572af649a3ac1c9a248f
True	new_function	absent	True	1	None	1	False	True	True	meta_in	corpus-engine/src/engine/mod.rs	3556	27c0fe0313913b01480c572af649a3ac1c9a248f
